Date,Species,Length (um),No. segments,Abbreviation
16/05/2022,NEG_CNTRL_5weeks,298.272,3,nbc_5w
16/05/2022,NEG_CNTRL_5weeks,295.105,3,nbc_5w
16/05/2022,NEG_CNTRL_5weeks,298.494,3,nbc_5w
16/05/2022,NEG_CNTRL_5weeks,318.899,3,nbc_5w
16/05/2022,NEG_CNTRL_5weeks,322.762,3,nbc_5w
16/05/2022,NEG_CNTRL_5weeks,321.398,3,nbc_5w
16/05/2022,NEG_CNTRL_5weeks,309.672,3,nbc_5w
16/05/2022,NEG_CNTRL_5weeks,311.647,3,nbc_5w
16/05/2022,Achnanthes_brevipes_1day,515.106,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,527.09,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,528.31,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,596.665,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,493.574,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,571.671,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,427.636,3,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,405.859,3,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,504.414,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,478.361,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,507.197,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,523.368,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,469.551,3,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,448.328,3,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,553.98,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,515.883,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,505.081,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,537.208,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,534.728,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,560.804,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,548.337,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,517.681,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,496.649,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,600.014,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,612.153,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,577.034,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,503.254,3,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,579.879,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,521.756,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,596.484,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,571.341,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,558.113,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,567.997,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,534.885,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,556.829,4,A.bre_1d
16/05/2022,Achnanthes_brevipes_1day,529.368,4,A.bre_1d
16/05/2022,Grammatophora_marina_1day,524.103,4,G.mar_1d
16/05/2022,Grammatophora_marina_1day,531.07,4,G.mar_1d
16/05/2022,Grammatophora_marina_1day,482.854,4,G.mar_1d
16/05/2022,Grammatophora_marina_1day,495.558,4,G.mar_1d
16/05/2022,Grammatophora_marina_1day,441.745,3,G.mar_1d
16/05/2022,Grammatophora_marina_1day,407.511,3,G.mar_1d
16/05/2022,Grammatophora_marina_1day,469.564,4,G.mar_1d
16/05/2022,Grammatophora_marina_1day,416.971,4,G.mar_1d
16/05/2022,Grammatophora_marina_1day,435.38,4,G.mar_1d
16/05/2022,Grammatophora_marina_1day,479.454,4,G.mar_1d
16/05/2022,Grammatophora_marina_1day,479.303,4,G.mar_1d
16/05/2022,Grammatophora_marina_1day,496.225,4,G.mar_1d
16/05/2022,Grammatophora_marina_1day,546.457,4,G.mar_1d
16/05/2022,Grammatophora_marina_1day,420.409,3,G.mar_1d
16/05/2022,Grammatophora_marina_1day,386.466,3,G.mar_1d
16/05/2022,Grammatophora_marina_1day,385.031,3,G.mar_1d
16/05/2022,Grammatophora_marina_1day,404.314,3,G.mar_1d
16/05/2022,Grammatophora_marina_1day,462.977,3,G.mar_1d
16/05/2022,Grammatophora_marina_1day,495.462,4,G.mar_1d
16/05/2022,Grammatophora_marina_1day,536.323,4,G.mar_1d
16/05/2022,Grammatophora_marina_1day,392.153,3,G.mar_1d
16/05/2022,Grammatophora_marina_1day,453.187,4,G.mar_1d
16/05/2022,Grammatophora_marina_1day,418.125,3,G.mar_1d
16/05/2022,Grammatophora_marina_1day,468.191,4,G.mar_1d
16/05/2022,Grammatophora_marina_1day,463.841,4,G.mar_1d
16/05/2022,Grammatophora_marina_1day,461.239,4,G.mar_1d
16/05/2022,Grammatophora_marina_1day,458.518,4,G.mar_1d
16/05/2022,Grammatophora_marina_1day,390.724,3,G.mar_1d
16/05/2022,Grammatophora_marina_1day,449.668,4,G.mar_1d
16/05/2022,Grammatophora_marina_1day,439.383,4,G.mar_1d
16/05/2022,Grammatophora_marina_1day,367.835,3,G.mar_1d
16/05/2022,Grammatophora_marina_1day,372.21,3,G.mar_1d
16/05/2022,Grammatophora_marina_1day,404.894,3,G.mar_1d
16/05/2022,Grammatophora_marina_1day,474.459,4,G.mar_1d
16/05/2022,Grammatophora_marina_1day,467.355,4,G.mar_1d
16/05/2022,Grammatophora_marina_1day,303.73,3,G.mar_1d
16/05/2022,Grammatophora_marina_1week,437.998,3,G.mar_1w
16/05/2022,Grammatophora_marina_1week,469.449,4,G.mar_1w
16/05/2022,Grammatophora_marina_1week,469.397,4,G.mar_1w
16/05/2022,Grammatophora_marina_1week,456.243,4,G.mar_1w
16/05/2022,Grammatophora_marina_1week,467.703,4,G.mar_1w
16/05/2022,Grammatophora_marina_1week,513.023,4,G.mar_1w
16/05/2022,Grammatophora_marina_1week,419.498,3,G.mar_1w
16/05/2022,Grammatophora_marina_1week,500.554,4,G.mar_1w
16/05/2022,Grammatophora_marina_1week,391.969,3,G.mar_1w
16/05/2022,Grammatophora_marina_1week,486.343,4,G.mar_1w
16/05/2022,Grammatophora_marina_1week,560.018,4,G.mar_1w
16/05/2022,Grammatophora_marina_1week,509.434,4,G.mar_1w
16/05/2022,Grammatophora_marina_1week,406.936,3,G.mar_1w
16/05/2022,Grammatophora_marina_1week,384.766,3,G.mar_1w
16/05/2022,Grammatophora_marina_1week,410.222,3,G.mar_1w
16/05/2022,Grammatophora_marina_1week,483.689,4,G.mar_1w
16/05/2022,Grammatophora_marina_1week,444.46,3,G.mar_1w
16/05/2022,Grammatophora_marina_1week,479.856,4,G.mar_1w
16/05/2022,Grammatophora_marina_2weeks,428.963,3,G.mar_2w
16/05/2022,Grammatophora_marina_2weeks,414.875,3,G.mar_2w
16/05/2022,Grammatophora_marina_2weeks,433.719,4,G.mar_2w
16/05/2022,Grammatophora_marina_2weeks,458.334,4,G.mar_2w
16/05/2022,Grammatophora_marina_2weeks,434.967,3,G.mar_2w
16/05/2022,Grammatophora_marina_2weeks,481.151,3,G.mar_2w
16/05/2022,Grammatophora_marina_2weeks,395.042,3,G.mar_2w
16/05/2022,Grammatophora_marina_2weeks,416.308,3,G.mar_2w
16/05/2022,Grammatophora_marina_2weeks,353.342,3,G.mar_2w
16/05/2022,Grammatophora_marina_2weeks,428.176,3,G.mar_2w
16/05/2022,Grammatophora_marina_2weeks,423.884,3,G.mar_2w
16/05/2022,Grammatophora_marina_2weeks,367.949,3,G.mar_2w
16/05/2022,Grammatophora_marina_2weeks,439.93,3,G.mar_2w
16/05/2022,Grammatophora_marina_2weeks,449.527,3,G.mar_2w
16/05/2022,Grammatophora_marina_2weeks,449.359,4,G.mar_2w
16/05/2022,Grammatophora_marina_2weeks,430.251,3,G.mar_2w
16/05/2022,Grammatophora_marina_2weeks,477.019,3,G.mar_2w
16/05/2022,Grammatophora_marina_2weeks,483.402,3,G.mar_2w
16/05/2022,Grammatophora_marina_5weeks,446.082,4,G.mar_5w
16/05/2022,Grammatophora_marina_5weeks,445.407,4,G.mar_5w
16/05/2022,Grammatophora_marina_5weeks,473.481,4,G.mar_5w
16/05/2022,Grammatophora_marina_5weeks,512.155,4,G.mar_5w
16/05/2022,Grammatophora_marina_5weeks,425.527,3,G.mar_5w
16/05/2022,Grammatophora_marina_5weeks,406.185,3,G.mar_5w
16/05/2022,Grammatophora_marina_5weeks,432.927,3,G.mar_5w
16/05/2022,Grammatophora_marina_5weeks,475.421,4,G.mar_5w
16/05/2022,Grammatophora_marina_5weeks,457.928,4,G.mar_5w
16/05/2022,Grammatophora_marina_5weeks,372.128,3,G.mar_5w
16/05/2022,Grammatophora_marina_5weeks,513.621,4,G.mar_5w
16/05/2022,Grammatophora_marina_5weeks,481.806,4,G.mar_5w
16/05/2022,Grammatophora_marina_5weeks,498.934,4,G.mar_5w
16/05/2022,Grammatophora_marina_5weeks,532.71,4,G.mar_5w
16/05/2022,Grammatophora_marina_5weeks,522.066,4,G.mar_5w
16/05/2022,Grammatophora_marina_5weeks,363.557,3,G.mar_5w
16/05/2022,Grammatophora_marina_5weeks,471.801,4,G.mar_5w
16/05/2022,Grammatophora_marina_5weeks,514.504,4,G.mar_5w
16/05/2022,3_species_mix,624.385,4,Mix_3sp.
16/05/2022,3_species_mix,483.253,3,Mix_3sp.
16/05/2022,3_species_mix,614.87,4,Mix_3sp.
16/05/2022,3_species_mix,643.077,4,Mix_3sp.
16/05/2022,3_species_mix,614.233,4,Mix_3sp.
16/05/2022,3_species_mix,663.715,4,Mix_3sp.
16/05/2022,3_species_mix,713.872,4,Mix_3sp.
16/05/2022,3_species_mix,602.655,4,Mix_3sp.
16/05/2022,3_species_mix,632.731,4,Mix_3sp.
16/05/2022,3_species_mix,566.419,4,Mix_3sp.
16/05/2022,3_species_mix,488.404,4,Mix_3sp.
16/05/2022,3_species_mix,563.189,4,Mix_3sp.
16/05/2022,3_species_mix,577.034,4,Mix_3sp.
16/05/2022,3_species_mix,557.272,4,Mix_3sp.
16/05/2022,3_species_mix,584.749,4,Mix_3sp.
16/05/2022,3_species_mix,583.946,4,Mix_3sp.
16/05/2022,3_species_mix,605.046,4,Mix_3sp.
16/05/2022,3_species_mix,625.03,4,Mix_3sp.
16/05/2022,3_species_mix,618.644,4,Mix_3sp.
16/05/2022,3_species_mix,629.232,4,Mix_3sp.
16/05/2022,3_species_mix,636.069,5,Mix_3sp.
16/05/2022,3_species_mix,658.745,5,Mix_3sp.
16/05/2022,3_species_mix,491.168,3,Mix_3sp.
16/05/2022,3_species_mix,544.871,4,Mix_3sp.
16/05/2022,3_species_mix,572.169,4,Mix_3sp.
16/05/2022,3_species_mix,592.781,4,Mix_3sp.
16/05/2022,3_species_mix,565.191,4,Mix_3sp.
16/05/2022,3_species_mix,546.457,5,Mix_3sp.
16/05/2022,3_species_mix,511.979,4,Mix_3sp.
16/05/2022,3_species_mix,544.539,4,Mix_3sp.
16/05/2022,3_species_mix,606.595,5,Mix_3sp.
16/05/2022,3_species_mix,587.244,4,Mix_3sp.
16/05/2022,3_species_mix,585.901,4,Mix_3sp.
16/05/2022,3_species_mix,544.141,4,Mix_3sp.
16/05/2022,6_species_mix_settle,490.862,3,Mix_6spS
16/05/2022,6_species_mix_settle,422.686,3,Mix_6spS
16/05/2022,6_species_mix_settle,491.584,3,Mix_6spS
16/05/2022,6_species_mix_settle,400.712,3,Mix_6spS
16/05/2022,6_species_mix_settle,333.614,3,Mix_6spS
16/05/2022,6_species_mix_settle,413.131,3,Mix_6spS
16/05/2022,6_species_mix_settle,378.094,3,Mix_6spS
16/05/2022,6_species_mix_settle,377.855,3,Mix_6spS
16/05/2022,6_species_mix_settle,387.818,3,Mix_6spS
16/05/2022,6_species_mix_settle,473.318,3,Mix_6spS
16/05/2022,6_species_mix_settle,347.983,3,Mix_6spS
16/05/2022,6_species_mix_settle,346.059,3,Mix_6spS
16/05/2022,6_species_mix_settle,379.561,3,Mix_6spS
16/05/2022,6_species_mix_settle,437.406,3,Mix_6spS
16/05/2022,6_species_mix_settle,461.031,3,Mix_6spS
16/05/2022,6_species_mix_settle,399.86,3,Mix_6spS
16/05/2022,6_species_mix_settle,397.562,3,Mix_6spS
16/05/2022,6_species_mix_settle,348.847,3,Mix_6spS
16/05/2022,6_species_mix_settle,409.548,3,Mix_6spS
16/05/2022,6_species_mix_settle,490.609,4,Mix_6spS
16/05/2022,6_species_mix_settle,553.698,4,Mix_6spS
16/05/2022,6_species_mix_settle,501.721,4,Mix_6spS
16/05/2022,6_species_mix_settle,461.028,4,Mix_6spS
16/05/2022,6_species_mix_settle,409.621,3,Mix_6spS
16/05/2022,6_species_mix_settle,448.704,3,Mix_6spS
16/05/2022,6_species_mix_settle,405.072,3,Mix_6spS
16/05/2022,6_species_mix_settle,504.915,4,Mix_6spS
16/05/2022,6_species_mix_settle,461.813,3,Mix_6spS
16/05/2022,6_species_mix_settle,430.276,3,Mix_6spS
16/05/2022,6_species_mix_settle,569.858,4,Mix_6spS
16/05/2022,6_species_mix_settle,496.128,4,Mix_6spS
16/05/2022,6_species_mix_settle,467.754,4,Mix_6spS
16/05/2022,6_species_mix_settle,489.929,4,Mix_6spS
16/05/2022,6_species_mix_settle,429.929,3,Mix_6spS
16/05/2022,6_species_mix_settle,402.39,3,Mix_6spS
16/05/2022,6_species_mix_settle,536.85,4,Mix_6spS
16/05/2022,6_species_mix_settle_grow,547.103,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,523.643,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,547.019,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,629.67,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,566.462,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,554.87,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,604.2,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,561.305,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,517.228,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,547.034,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,559.875,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,485.092,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,497.336,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,538.525,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,443.349,3,Mix_6spG
16/05/2022,6_species_mix_settle_grow,578.724,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,536.446,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,567.021,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,547.052,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,536.581,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,579.479,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,586.906,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,561.863,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,561.047,5,Mix_6spG
16/05/2022,6_species_mix_settle_grow,523.291,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,570.628,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,489.501,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,627.181,5,Mix_6spG
16/05/2022,6_species_mix_settle_grow,561.98,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,591.043,5,Mix_6spG
16/05/2022,6_species_mix_settle_grow,538.461,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,621.516,5,Mix_6spG
16/05/2022,6_species_mix_settle_grow,508.973,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,510.361,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,585.078,4,Mix_6spG
16/05/2022,6_species_mix_settle_grow,601.402,5,Mix_6spG
16/05/2022,10_species_mix,532.529,4,Mix_10sp.
16/05/2022,10_species_mix,547.491,4,Mix_10sp.
16/05/2022,10_species_mix,447.079,3,Mix_10sp.
16/05/2022,10_species_mix,481.257,4,Mix_10sp.
16/05/2022,10_species_mix,496.407,4,Mix_10sp.
16/05/2022,10_species_mix,491.283,4,Mix_10sp.
16/05/2022,10_species_mix,541.169,4,Mix_10sp.
16/05/2022,10_species_mix,493.002,4,Mix_10sp.
16/05/2022,10_species_mix,470.639,3,Mix_10sp.
16/05/2022,10_species_mix,445.312,3,Mix_10sp.
16/05/2022,10_species_mix,534.145,4,Mix_10sp.
16/05/2022,10_species_mix,593.909,4,Mix_10sp.
16/05/2022,10_species_mix,453.822,4,Mix_10sp.
16/05/2022,10_species_mix,463.737,3,Mix_10sp.
16/05/2022,10_species_mix,517.414,4,Mix_10sp.
16/05/2022,10_species_mix,501.268,4,Mix_10sp.
16/05/2022,10_species_mix,549.707,4,Mix_10sp.
16/05/2022,10_species_mix,526.622,4,Mix_10sp.
16/05/2022,10_species_mix,448.865,3,Mix_10sp.
16/05/2022,10_species_mix,482.605,4,Mix_10sp.
16/05/2022,10_species_mix,515.55,4,Mix_10sp.
16/05/2022,10_species_mix,578.699,4,Mix_10sp.
16/05/2022,10_species_mix,522.47,4,Mix_10sp.
16/05/2022,10_species_mix,495.609,4,Mix_10sp.
16/05/2022,10_species_mix,503.937,4,Mix_10sp.
16/05/2022,10_species_mix,497.92,4,Mix_10sp.
16/05/2022,10_species_mix,558.469,4,Mix_10sp.
16/05/2022,10_species_mix,472.265,4,Mix_10sp.
16/05/2022,10_species_mix,470.486,4,Mix_10sp.
16/05/2022,10_species_mix,528.178,4,Mix_10sp.
16/05/2022,10_species_mix,523.161,4,Mix_10sp.
16/05/2022,10_species_mix,518.843,4,Mix_10sp.
16/05/2022,10_species_mix,598.478,4,Mix_10sp.
16/05/2022,10_species_mix,493.161,4,Mix_10sp.
16/05/2022,10_species_mix,576.273,4,Mix_10sp.
16/05/2022,10_species_mix,585.926,4,Mix_10sp.
