Date,Species,Length (micron),No. segments,Abbreviation
16/03/2021,Amphora_coffeaeformis,385.031,3,A.cof
16/03/2021,Amphora_coffeaeformis,605.523,4,A.cof
16/03/2021,Amphora_coffeaeformis,606.029,4,A.cof
16/03/2021,Amphora_coffeaeformis,448.88,3,A.cof
16/03/2021,Amphora_coffeaeformis,534.889,4,A.cof
16/03/2021,Amphora_coffeaeformis,425.108,3,A.cof
16/03/2021,Amphora_coffeaeformis,542.101,4,A.cof
16/03/2021,Amphora_coffeaeformis,593.112,4,A.cof
16/03/2021,Amphora_coffeaeformis,591.445,5,A.cof
16/03/2021,Amphora_coffeaeformis,460.661,4,A.cof
16/03/2021,Amphora_coffeaeformis,518.413,4,A.cof
16/03/2021,Amphora_coffeaeformis,508.09,4,A.cof
16/03/2021,Amphora_coffeaeformis,584.143,4,A.cof
16/03/2021,Amphora_coffeaeformis,536.892,4,A.cof
16/03/2021,Amphora_coffeaeformis,417.903,4,A.cof
16/03/2021,Amphora_sp,439.935,3,Amp.sp
16/03/2021,Amphora_sp,387.569,3,Amp.sp
16/03/2021,Amphora_sp,489.086,4,Amp.sp
16/03/2021,Amphora_sp,503.254,4,Amp.sp
16/03/2021,Amphora_sp,422.423,4,Amp.sp
16/03/2021,Amphora_sp,370.222,3,Amp.sp
16/03/2021,Amphora_sp,326.78,3,Amp.sp
16/03/2021,Amphora_sp,442.541,4,Amp.sp
16/03/2021,Amphora_sp,462.947,4,Amp.sp
16/03/2021,Amphora_sp,394.332,3,Amp.sp
16/03/2021,Amphora_sp,395.189,3,Amp.sp
16/03/2021,Amphora_sp,313.058,3,Amp.sp
16/03/2021,Amphora_sp,427.563,4,Amp.sp
16/03/2021,Amphora_sp,403.304,4,Amp.sp
16/03/2021,Amphora_sp,474.178,4,Amp.sp
16/03/2021,Amphora_sp,431.189,3,Amp.sp
16/03/2021,Amphora_sp,444.689,4,Amp.sp
16/03/2021,Amphora_sp,402.54,3,Amp.sp
16/03/2021,Chrysotila_lamellosa,367.535,3,C.lam
16/03/2021,Chrysotila_lamellosa,346.35,3,C.lam
16/03/2021,Chrysotila_lamellosa,360.802,3,C.lam
16/03/2021,Chrysotila_lamellosa,384.871,3,C.lam
16/03/2021,Chrysotila_lamellosa,397.815,3,C.lam
16/03/2021,Chrysotila_lamellosa,294.994,3,C.lam
16/03/2021,Chrysotila_lamellosa,330.026,3,C.lam
16/03/2021,Chrysotila_lamellosa,330.377,3,C.lam
16/03/2021,Chrysotila_lamellosa,356.883,3,C.lam
16/03/2021,Chrysotila_lamellosa,344.244,3,C.lam
16/03/2021,Chrysotila_lamellosa,279.055,3,C.lam
16/03/2021,Chrysotila_lamellosa,293.037,3,C.lam
16/03/2021,Chrysotila_lamellosa,361.816,3,C.lam
16/03/2021,Chrysotila_lamellosa,298.424,3,C.lam
16/03/2021,Chrysotila_lamellosa,340.249,3,C.lam
16/03/2021,Chrysotila_lamellosa,279.956,3,C.lam
16/03/2021,Chrysotila_lamellosa,335.361,3,C.lam
16/03/2021,Chrysotila_lamellosa,337.005,3,C.lam
16/03/2021,Entomoneis_alata,379.721,3,E.ala
16/03/2021,Entomoneis_alata,304.267,3,E.ala
16/03/2021,Entomoneis_alata,362.378,3,E.ala
16/03/2021,Entomoneis_alata,334.579,3,E.ala
16/03/2021,Entomoneis_alata,336.644,3,E.ala
16/03/2021,Entomoneis_alata,312.433,3,E.ala
16/03/2021,Entomoneis_alata,340.365,3,E.ala
16/03/2021,Entomoneis_alata,346.341,3,E.ala
16/03/2021,Entomoneis_alata,336.766,3,E.ala
16/03/2021,Entomoneis_alata,396.819,3,E.ala
16/03/2021,Entomoneis_alata,349.942,3,E.ala
16/03/2021,Entomoneis_alata,312.036,3,E.ala
16/03/2021,Entomoneis_alata,337.045,3,E.ala
16/03/2021,Entomoneis_alata,312.538,3,E.ala
16/03/2021,Entomoneis_alata,350.464,3,E.ala
16/03/2021,Entomoneis_alata,388.491,3,E.ala
16/03/2021,Entomoneis_alata,304.211,3,E.ala
16/03/2021,Entomoneis_alata,283.159,3,E.ala
16/03/2021,Fragilaria_striatula,504.11,4,F.str
16/03/2021,Fragilaria_striatula,521.859,4,F.str
16/03/2021,Fragilaria_striatula,582.619,4,F.str
16/03/2021,Fragilaria_striatula,630.979,4,F.str
16/03/2021,Fragilaria_striatula,442.053,4,F.str
16/03/2021,Fragilaria_striatula,457.833,3,F.str
16/03/2021,Fragilaria_striatula,577.267,4,F.str
16/03/2021,Fragilaria_striatula,492.826,4,F.str
16/03/2021,Fragilaria_striatula,359.487,3,F.str
16/03/2021,Fragilaria_striatula,486.181,4,F.str
16/03/2021,Fragilaria_striatula,519.32,4,F.str
16/03/2021,Fragilaria_striatula,503.812,4,F.str
16/03/2021,Fragilaria_striatula,510.526,4,F.str
16/03/2021,Fragilaria_striatula,596.957,5,F.str
16/03/2021,Fragilaria_striatula,526.285,4,F.str
16/03/2021,Fragilaria_striatula,540.162,4,F.str
16/03/2021,Fragilaria_striatula,360.119,3,F.str
16/03/2021,Fragilaria_striatula,461.412,4,F.str
16/03/2021,Fragilariopsis_sp,345.278,3,Fra.sp
16/03/2021,Fragilariopsis_sp,346.148,3,Fra.sp
16/03/2021,Fragilariopsis_sp,333.897,3,Fra.sp
16/03/2021,Fragilariopsis_sp,341.228,3,Fra.sp
16/03/2021,Fragilariopsis_sp,289.175,3,Fra.sp
16/03/2021,Fragilariopsis_sp,293.142,3,Fra.sp
16/03/2021,Fragilariopsis_sp,282.957,3,Fra.sp
16/03/2021,Fragilariopsis_sp,314.353,3,Fra.sp
16/03/2021,Fragilariopsis_sp,302.636,3,Fra.sp
16/03/2021,Fragilariopsis_sp,268.881,3,Fra.sp
16/03/2021,Fragilariopsis_sp,265.015,3,Fra.sp
16/03/2021,Fragilariopsis_sp,275.228,3,Fra.sp
16/03/2021,Fragilariopsis_sp,326.34,3,Fra.sp
16/03/2021,Fragilariopsis_sp,327.011,3,Fra.sp
16/03/2021,Fragilariopsis_sp,254.783,3,Fra.sp
16/03/2021,Fragilariopsis_sp,348.631,3,Fra.sp
16/03/2021,Fragilariopsis_sp,345.724,3,Fra.sp
16/03/2021,Fragilariopsis_sp,305.452,3,Fra.sp
16/03/2021,Grammatophora_marina,539.962,4,G.mar
16/03/2021,Grammatophora_marina,501.377,4,G.mar
16/03/2021,Grammatophora_marina,487.509,4,G.mar
16/03/2021,Grammatophora_marina,547.028,4,G.mar
16/03/2021,Grammatophora_marina,507.224,4,G.mar
16/03/2021,Grammatophora_marina,483.724,4,G.mar
16/03/2021,Grammatophora_marina,498.886,4,G.mar
16/03/2021,Grammatophora_marina,596.389,4,G.mar
16/03/2021,Grammatophora_marina,557.338,4,G.mar
16/03/2021,Grammatophora_marina,492.114,4,G.mar
16/03/2021,Grammatophora_marina,477.174,4,G.mar
16/03/2021,Grammatophora_marina,495.915,4,G.mar
16/03/2021,Grammatophora_marina,495.513,4,G.mar
16/03/2021,Grammatophora_marina,535.162,4,G.mar
16/03/2021,Grammatophora_marina,460.089,4,G.mar
16/03/2021,Grammatophora_marina,405.589,4,G.mar
16/03/2021,Grammatophora_marina,347.422,3,G.mar
16/03/2021,Grammatophora_marina,460.29,4,G.mar
16/03/2021,Navicula_sp,316.961,3,Nav.sp
16/03/2021,Navicula_sp,338.145,3,Nav.sp
16/03/2021,Navicula_sp,356.591,3,Nav.sp
16/03/2021,Navicula_sp,356.82,3,Nav.sp
16/03/2021,Navicula_sp,334.748,3,Nav.sp
16/03/2021,Navicula_sp,411.216,3,Nav.sp
16/03/2021,Navicula_sp,355.59,3,Nav.sp
16/03/2021,Navicula_sp,380.264,3,Nav.sp
16/03/2021,Navicula_sp,412.347,3,Nav.sp
16/03/2021,Navicula_sp,396.302,3,Nav.sp
16/03/2021,Navicula_sp,379.94,3,Nav.sp
16/03/2021,Navicula_sp,344.146,3,Nav.sp
16/03/2021,Navicula_sp,318.635,3,Nav.sp
16/03/2021,Navicula_sp,381.387,3,Nav.sp
16/03/2021,Navicula_sp,363.467,3,Nav.sp
16/03/2021,Navicula_sp,378.545,3,Nav.sp
16/03/2021,Navicula_sp,384.822,3,Nav.sp
16/03/2021,Navicula_sp,368.192,3,Nav.sp
16/03/2021,Nitzschia_epithemoides,372.512,3,N.epi
16/03/2021,Nitzschia_epithemoides,319.253,3,N.epi
16/03/2021,Nitzschia_epithemoides,263.258,3,N.epi
16/03/2021,Nitzschia_epithemoides,314.161,3,N.epi
16/03/2021,Nitzschia_epithemoides,321.458,3,N.epi
16/03/2021,Nitzschia_epithemoides,273.391,3,N.epi
16/03/2021,Nitzschia_epithemoides,363.975,3,N.epi
16/03/2021,Nitzschia_epithemoides,354.525,3,N.epi
16/03/2021,Nitzschia_epithemoides,358.79,3,N.epi
16/03/2021,Nitzschia_epithemoides,386.69,3,N.epi
16/03/2021,Nitzschia_epithemoides,322.24,3,N.epi
16/03/2021,Nitzschia_epithemoides,414.998,3,N.epi
16/03/2021,Nitzschia_epithemoides,313.895,3,N.epi
16/03/2021,Nitzschia_epithemoides,328.082,3,N.epi
16/03/2021,Nitzschia_epithemoides,306.996,3,N.epi
16/03/2021,Nitzschia_epithemoides,293.212,3,N.epi
16/03/2021,Nitzschia_epithemoides,301.063,3,N.epi
16/03/2021,Nitzschia_epithemoides,313.093,3,N.epi
16/03/2021,Nitzschia_ovalis,308.105,3,N.ova
16/03/2021,Nitzschia_ovalis,328.42,3,N.ova
16/03/2021,Nitzschia_ovalis,360.355,3,N.ova
16/03/2021,Nitzschia_ovalis,384.836,3,N.ova
16/03/2021,Nitzschia_ovalis,400.216,3,N.ova
16/03/2021,Nitzschia_ovalis,330.866,3,N.ova
16/03/2021,Nitzschia_ovalis,366.972,3,N.ova
16/03/2021,Nitzschia_ovalis,351.013,3,N.ova
16/03/2021,Nitzschia_ovalis,431.046,3,N.ova
16/03/2021,Nitzschia_ovalis,416.25,3,N.ova
16/03/2021,Nitzschia_ovalis,400.216,3,N.ova
16/03/2021,Nitzschia_ovalis,361.816,3,N.ova
16/03/2021,Nitzschia_ovalis,349.297,3,N.ova
16/03/2021,Nitzschia_ovalis,386.893,3,N.ova
16/03/2021,Nitzschia_ovalis,414.433,3,N.ova
16/03/2021,Nitzschia_ovalis,417.58,3,N.ova
16/03/2021,Nitzschia_ovalis,435.313,3,N.ova
16/03/2021,Nitzschia_ovalis,292.101,3,N.ova
16/03/2021,Odontella_aurita,333.462,3,O.aur
16/03/2021,Odontella_aurita,298.877,3,O.aur
16/03/2021,Odontella_aurita,343.75,3,O.aur
16/03/2021,Odontella_aurita,343.293,3,O.aur
16/03/2021,Odontella_aurita,314.086,3,O.aur
16/03/2021,Odontella_aurita,293.894,3,O.aur
16/03/2021,Odontella_aurita,336.197,3,O.aur
16/03/2021,Odontella_aurita,308.262,3,O.aur
16/03/2021,Odontella_aurita,353.596,3,O.aur
16/03/2021,Odontella_aurita,331.302,3,O.aur
16/03/2021,Odontella_aurita,390.753,3,O.aur
16/03/2021,Odontella_aurita,290.264,3,O.aur
16/03/2021,Odontella_aurita,277.555,3,O.aur
16/03/2021,Odontella_aurita,281.358,3,O.aur
16/03/2021,Odontella_aurita,359.422,3,O.aur
16/03/2021,Odontella_aurita,277.66,3,O.aur
16/03/2021,Odontella_aurita,302.818,3,O.aur
16/03/2021,Odontella_aurita,271.605,3,O.aur
16/03/2021,Phaeodactylum_tricornutum,312.48,3,P.tri
16/03/2021,Phaeodactylum_tricornutum,295.612,3,P.tri
16/03/2021,Phaeodactylum_tricornutum,298.103,3,P.tri
16/03/2021,Phaeodactylum_tricornutum,312.48,3,P.tri
16/03/2021,Phaeodactylum_tricornutum,345.039,3,P.tri
16/03/2021,Phaeodactylum_tricornutum,318.727,3,P.tri
16/03/2021,Phaeodactylum_tricornutum,306.202,3,P.tri
16/03/2021,Phaeodactylum_tricornutum,322.903,3,P.tri
16/03/2021,Phaeodactylum_tricornutum,291.256,3,P.tri
16/03/2021,Phaeodactylum_tricornutum,331.073,3,P.tri
16/03/2021,Phaeodactylum_tricornutum,349.297,3,P.tri
16/03/2021,Phaeodactylum_tricornutum,268.531,3,P.tri
16/03/2021,Phaeodactylum_tricornutum,265.299,3,P.tri
16/03/2021,Phaeodactylum_tricornutum,315.257,3,P.tri
16/03/2021,Phaeodactylum_tricornutum,333.142,3,P.tri
16/03/2021,Phaeodactylum_tricornutum,317.128,3,P.tri
16/03/2021,Phaeodactylum_tricornutum,325.232,3,P.tri
16/03/2021,Phaeodactylum_tricornutum,300.162,3,P.tri
16/03/2021,Skeletonema_dohrnii,489.112,4,S.doh
16/03/2021,Skeletonema_dohrnii,445.826,4,S.doh
16/03/2021,Skeletonema_dohrnii,494.48,4,S.doh
16/03/2021,Skeletonema_dohrnii,483.647,4,S.doh
16/03/2021,Skeletonema_dohrnii,508.969,4,S.doh
16/03/2021,Skeletonema_dohrnii,467.666,4,S.doh
16/03/2021,Skeletonema_dohrnii,325.234,3,S.doh
16/03/2021,Skeletonema_dohrnii,368.981,3,S.doh
16/03/2021,Skeletonema_dohrnii,406.282,3,S.doh
16/03/2021,Skeletonema_dohrnii,484.787,4,S.doh
16/03/2021,Skeletonema_dohrnii,363.811,3,S.doh
16/03/2021,Skeletonema_dohrnii,495.071,4,S.doh
16/03/2021,Skeletonema_dohrnii,281.628,3,S.doh
16/03/2021,Skeletonema_dohrnii,328.427,3,S.doh
16/03/2021,Skeletonema_dohrnii,337.593,3,S.doh
16/03/2021,Skeletonema_dohrnii,318.727,3,S.doh
16/03/2021,Skeletonema_dohrnii,342.844,3,S.doh
16/03/2021,Skeletonema_dohrnii,314.152,3,S.doh
16/03/2021,Staurosirella_pinnata,267.841,3,S.pin
16/03/2021,Staurosirella_pinnata,301.728,3,S.pin
16/03/2021,Staurosirella_pinnata,293.731,3,S.pin
16/03/2021,Staurosirella_pinnata,329.747,3,S.pin
16/03/2021,Staurosirella_pinnata,309.21,3,S.pin
16/03/2021,Staurosirella_pinnata,362.411,3,S.pin
16/03/2021,Staurosirella_pinnata,317.565,3,S.pin
16/03/2021,Staurosirella_pinnata,311.246,3,S.pin
16/03/2021,Staurosirella_pinnata,349.474,3,S.pin
16/03/2021,Staurosirella_pinnata,309.21,3,S.pin
16/03/2021,Staurosirella_pinnata,320.798,3,S.pin
16/03/2021,Staurosirella_pinnata,316.35,3,S.pin
16/03/2021,Staurosirella_pinnata,345.217,3,S.pin
16/03/2021,Staurosirella_pinnata,306.509,3,S.pin
16/03/2021,Staurosirella_pinnata,332.491,3,S.pin
16/03/2021,Staurosirella_pinnata,345.217,3,S.pin
16/03/2021,Staurosirella_pinnata,350.54,3,S.pin
16/03/2021,Staurosirella_pinnata,302.971,3,S.pin
16/03/2021,Surirella_sp,307.011,3,Sur.sp
16/03/2021,Surirella_sp,312.579,3,Sur.sp
16/03/2021,Surirella_sp,314.958,3,Sur.sp
16/03/2021,Surirella_sp,245.494,3,Sur.sp
16/03/2021,Surirella_sp,321.9,3,Sur.sp
16/03/2021,Surirella_sp,281.796,3,Sur.sp
16/03/2021,Surirella_sp,334.707,3,Sur.sp
16/03/2021,Surirella_sp,339.685,3,Sur.sp
16/03/2021,Surirella_sp,351.955,3,Sur.sp
16/03/2021,Surirella_sp,311.76,3,Sur.sp
16/03/2021,Surirella_sp,373.874,3,Sur.sp
16/03/2021,Surirella_sp,330.027,3,Sur.sp
16/03/2021,Surirella_sp,358.652,3,Sur.sp
16/03/2021,Surirella_sp,290.992,3,Sur.sp
16/03/2021,Surirella_sp,350.002,3,Sur.sp
16/03/2021,Surirella_sp,315.375,3,Sur.sp
16/03/2021,Surirella_sp,327.434,3,Sur.sp
16/03/2021,Surirella_sp,332.715,3,Sur.sp
23/03/2021,Control_slip,292.435,3,nbc
23/03/2021,Control_slip,287.792,3,nbc
23/03/2021,Control_slip,264.88,3,nbc
23/03/2021,Control_slip,316.128,3,nbc
23/03/2021,Control_slip,335.967,3,nbc
23/03/2021,Control_slip,285.476,3,nbc
23/03/2021,Control_slip,303.423,3,nbc
23/03/2021,Control_slip,299.814,3,nbc
23/03/2021,Control_slip,307.812,3,nbc
23/03/2021,Control_slip,319.188,3,nbc
23/03/2021,Control_slip,308.9,3,nbc
23/03/2021,Control_slip,305.491,3,nbc
23/03/2021,Control_slip,285.704,3,nbc
23/03/2021,Control_slip,262.498,3,nbc
23/03/2021,Control_slip,303.631,3,nbc
23/03/2021,Control_slip,301.953,3,nbc
23/03/2021,Control_slip,311.592,3,nbc
23/03/2021,Control_slip,290.409,3,nbc
23/03/2021,Achnanthes_sp,511.685,4,Ach.sp
23/03/2021,Achnanthes_sp,603.752,4,Ach.sp
23/03/2021,Achnanthes_sp,524.982,4,Ach.sp
23/03/2021,Achnanthes_sp,342.758,4,Ach.sp
23/03/2021,Achnanthes_sp,459.687,4,Ach.sp
23/03/2021,Achnanthes_sp,470.061,4,Ach.sp
23/03/2021,Achnanthes_sp,337.045,3,Ach.sp
23/03/2021,Achnanthes_sp,431.887,4,Ach.sp
23/03/2021,Achnanthes_sp,533.942,4,Ach.sp
23/03/2021,Achnanthes_sp,513.554,4,Ach.sp
23/03/2021,Achnanthes_sp,372.305,4,Ach.sp
23/03/2021,Achnanthes_sp,386.575,3,Ach.sp
23/03/2021,Achnanthes_sp,422.373,4,Ach.sp
23/03/2021,Achnanthes_sp,387.073,4,Ach.sp
23/03/2021,Achnanthes_sp,421.102,3,Ach.sp
23/03/2021,Achnanthes_sp,535.312,4,Ach.sp
23/03/2021,Achnanthes_sp,574.764,4,Ach.sp
23/03/2021,Achnanthes_sp,525.575,4,Ach.sp
23/03/2021,Amphora_coffeaeformis,419.277,3,A.cof
23/03/2021,Amphora_coffeaeformis,367.047,3,A.cof
23/03/2021,Amphora_coffeaeformis,402.604,3,A.cof
23/03/2021,Amphora_coffeaeformis,536.615,4,A.cof
23/03/2021,Amphora_coffeaeformis,460.542,4,A.cof
23/03/2021,Amphora_coffeaeformis,374.578,3,A.cof
23/03/2021,Amphora_coffeaeformis,363.467,3,A.cof
23/03/2021,Amphora_coffeaeformis,428.594,3,A.cof
23/03/2021,Amphora_coffeaeformis,407.198,3,A.cof
23/03/2021,Amphora_coffeaeformis,401.531,3,A.cof
23/03/2021,Amphora_coffeaeformis,449.875,4,A.cof
23/03/2021,Amphora_coffeaeformis,395.537,3,A.cof
23/03/2021,Amphora_coffeaeformis,330.066,3,A.cof
23/03/2021,Amphora_coffeaeformis,430.681,3,A.cof
23/03/2021,Amphora_coffeaeformis,362.392,3,A.cof
23/03/2021,Amphora_coffeaeformis,394.167,3,A.cof
23/03/2021,Amphora_coffeaeformis,387.777,3,A.cof
23/03/2021,Amphora_coffeaeformis,379.155,3,A.cof
23/03/2021,Amphora_sp,452.587,4,Amp.sp
23/03/2021,Amphora_sp,463.875,4,Amp.sp
23/03/2021,Amphora_sp,525.036,4,Amp.sp
23/03/2021,Amphora_sp,351.519,3,Amp.sp
23/03/2021,Amphora_sp,447.455,4,Amp.sp
23/03/2021,Amphora_sp,346.459,3,Amp.sp
23/03/2021,Amphora_sp,516.902,4,Amp.sp
23/03/2021,Amphora_sp,463.978,4,Amp.sp
23/03/2021,Amphora_sp,553.196,4,Amp.sp
23/03/2021,Amphora_sp,516.411,4,Amp.sp
23/03/2021,Amphora_sp,513.351,4,Amp.sp
23/03/2021,Amphora_sp,533.057,4,Amp.sp
23/03/2021,Amphora_sp,488.526,4,Amp.sp
23/03/2021,Amphora_sp,478.317,4,Amp.sp
23/03/2021,Amphora_sp,488.078,4,Amp.sp
23/03/2021,Amphora_sp,435.092,4,Amp.sp
23/03/2021,Amphora_sp,491.728,4,Amp.sp
23/03/2021,Amphora_sp,536.173,4,Amp.sp
23/03/2021,Chrysotila_lamellosa,415.964,3,C.lam
23/03/2021,Chrysotila_lamellosa,423.969,3,C.lam
23/03/2021,Chrysotila_lamellosa,379.678,3,C.lam
23/03/2021,Chrysotila_lamellosa,382.324,3,C.lam
23/03/2021,Chrysotila_lamellosa,423.499,3,C.lam
23/03/2021,Chrysotila_lamellosa,416.819,3,C.lam
23/03/2021,Chrysotila_lamellosa,360.275,3,C.lam
23/03/2021,Chrysotila_lamellosa,394.085,3,C.lam
23/03/2021,Chrysotila_lamellosa,410.671,3,C.lam
23/03/2021,Chrysotila_lamellosa,366.658,3,C.lam
23/03/2021,Chrysotila_lamellosa,418.202,3,C.lam
23/03/2021,Chrysotila_lamellosa,395.511,3,C.lam
23/03/2021,Chrysotila_lamellosa,364.408,3,C.lam
23/03/2021,Chrysotila_lamellosa,420.119,3,C.lam
23/03/2021,Chrysotila_lamellosa,374.87,3,C.lam
23/03/2021,Chrysotila_lamellosa,438.243,3,C.lam
23/03/2021,Chrysotila_lamellosa,454.505,3,C.lam
23/03/2021,Chrysotila_lamellosa,407.202,3,C.lam
23/03/2021,Entomoneis_alata,284.66,3,E.ala
23/03/2021,Entomoneis_alata,329.793,3,E.ala
23/03/2021,Entomoneis_alata,304.304,3,E.ala
23/03/2021,Entomoneis_alata,309.084,3,E.ala
23/03/2021,Entomoneis_alata,337.04,3,E.ala
23/03/2021,Entomoneis_alata,309.434,3,E.ala
23/03/2021,Entomoneis_alata,324.805,3,E.ala
23/03/2021,Entomoneis_alata,355.07,3,E.ala
23/03/2021,Entomoneis_alata,376.551,3,E.ala
23/03/2021,Entomoneis_alata,363.524,3,E.ala
23/03/2021,Entomoneis_alata,340.008,3,E.ala
23/03/2021,Entomoneis_alata,325.647,3,E.ala
23/03/2021,Entomoneis_alata,357.891,3,E.ala
23/03/2021,Entomoneis_alata,314.365,3,E.ala
23/03/2021,Entomoneis_alata,356.189,3,E.ala
23/03/2021,Entomoneis_alata,382.229,3,E.ala
23/03/2021,Entomoneis_alata,368.595,3,E.ala
23/03/2021,Entomoneis_alata,340.722,3,E.ala
23/03/2021,Fragilaria_striatula,496.814,4,F.str
23/03/2021,Fragilaria_striatula,556.429,4,F.str
23/03/2021,Fragilaria_striatula,450.854,4,F.str
23/03/2021,Fragilaria_striatula,398.519,4,F.str
23/03/2021,Fragilaria_striatula,447.814,4,F.str
23/03/2021,Fragilaria_striatula,449.303,4,F.str
23/03/2021,Fragilaria_striatula,494.548,5,F.str
23/03/2021,Fragilaria_striatula,488.301,4,F.str
23/03/2021,Fragilaria_striatula,473.582,4,F.str
23/03/2021,Fragilaria_striatula,473.933,4,F.str
23/03/2021,Fragilaria_striatula,510.332,4,F.str
23/03/2021,Fragilaria_striatula,488.857,4,F.str
23/03/2021,Fragilaria_striatula,491.992,4,F.str
23/03/2021,Fragilaria_striatula,607.965,4,F.str
23/03/2021,Fragilaria_striatula,656.761,4,F.str
23/03/2021,Fragilaria_striatula,505.764,4,F.str
23/03/2021,Fragilaria_striatula,634.909,4,F.str
23/03/2021,Fragilaria_striatula,604.109,4,F.str
23/03/2021,Fragilariopsis_sp,322.332,3,Fra.sp
23/03/2021,Fragilariopsis_sp,314.222,3,Fra.sp
23/03/2021,Fragilariopsis_sp,347.391,3,Fra.sp
23/03/2021,Fragilariopsis_sp,309.011,3,Fra.sp
23/03/2021,Fragilariopsis_sp,339.161,3,Fra.sp
23/03/2021,Fragilariopsis_sp,292.745,3,Fra.sp
23/03/2021,Fragilariopsis_sp,305.452,3,Fra.sp
23/03/2021,Fragilariopsis_sp,260.419,3,Fra.sp
23/03/2021,Fragilariopsis_sp,315.89,3,Fra.sp
23/03/2021,Fragilariopsis_sp,327.11,3,Fra.sp
23/03/2021,Fragilariopsis_sp,342.423,3,Fra.sp
23/03/2021,Fragilariopsis_sp,279.687,3,Fra.sp
23/03/2021,Fragilariopsis_sp,300.419,3,Fra.sp
23/03/2021,Fragilariopsis_sp,284.347,3,Fra.sp
23/03/2021,Fragilariopsis_sp,345.234,3,Fra.sp
23/03/2021,Fragilariopsis_sp,308.357,3,Fra.sp
23/03/2021,Fragilariopsis_sp,322.16,3,Fra.sp
23/03/2021,Fragilariopsis_sp,313.328,3,Fra.sp
23/03/2021,Grammatophora_marina,436.392,4,G.mar
23/03/2021,Grammatophora_marina,518.383,4,G.mar
23/03/2021,Grammatophora_marina,521.521,4,G.mar
23/03/2021,Grammatophora_marina,504.568,4,G.mar
23/03/2021,Grammatophora_marina,470.645,4,G.mar
23/03/2021,Grammatophora_marina,456.916,4,G.mar
23/03/2021,Grammatophora_marina,416.989,4,G.mar
23/03/2021,Grammatophora_marina,507.887,4,G.mar
23/03/2021,Grammatophora_marina,469.51,4,G.mar
23/03/2021,Grammatophora_marina,508.539,4,G.mar
23/03/2021,Grammatophora_marina,492.552,4,G.mar
23/03/2021,Grammatophora_marina,471.669,4,G.mar
23/03/2021,Grammatophora_marina,466.739,4,G.mar
23/03/2021,Grammatophora_marina,427.875,4,G.mar
23/03/2021,Grammatophora_marina,438.871,4,G.mar
23/03/2021,Grammatophora_marina,483.881,4,G.mar
23/03/2021,Grammatophora_marina,484.764,4,G.mar
23/03/2021,Grammatophora_marina,397.227,4,G.mar
23/03/2021,Navicula_sp,333.005,3,Nav.sp
23/03/2021,Navicula_sp,361.097,3,Nav.sp
23/03/2021,Navicula_sp,364.973,3,Nav.sp
23/03/2021,Navicula_sp,433.265,3,Nav.sp
23/03/2021,Navicula_sp,351.832,3,Nav.sp
23/03/2021,Navicula_sp,451.13,3,Nav.sp
23/03/2021,Navicula_sp,351.48,3,Nav.sp
23/03/2021,Navicula_sp,367.792,3,Nav.sp
23/03/2021,Navicula_sp,346.751,3,Nav.sp
23/03/2021,Navicula_sp,309.166,3,Nav.sp
23/03/2021,Navicula_sp,349.645,3,Nav.sp
23/03/2021,Navicula_sp,382.874,3,Nav.sp
